STD,mean,CoV,average,cwtmean,LOA,skew,ZCR,cwtvar
0.020453,1.0772,124.36,1.0773,0.00056997,0.12478,0.1725,0.5,3.74E-05
0.019875,1.0741,139.6,1.0743,0.00045773,0.48708,0.61293,0.3,1.72E-05
0.010922,1.0761,260.75,1.0762,0.00017581,0.040688,0.1608,0,1.02E-05
0.01197,1.0799,186.76,1.08,0.0003256,0.21459,0.26648,0,1.15E-05
0.0090627,1.0793,349.98,1.0793,0.00036665,0.51743,0.094544,0,7.35E-06
0.010583,1.0799,267.29,1.08,5.82E-05,0.40943,0.47287,0,1.53E-05
0.010541,1.0786,178.2,1.0786,0.0002891,0.088957,0.47979,0.2,1.05E-05
0.011163,1.0777,224.48,1.0778,0.00018594,0.083382,0.56705,0.2,1.43E-05
0.016346,1.0807,260.37,1.0808,0.00011139,0.21025,0.65556,0.2,3.22E-05
0.010414,1.0808,271.91,1.0809,0.00015459,0.52227,0.19387,0.2,7.93E-06
0.013766,1.0786,167.76,1.0787,0.00047147,0.023949,0.49375,0.2,1.64E-05
0.012494,1.0833,202.53,1.0834,0.00027052,0.29806,0.68044,0.2,1.39E-05
0.0091603,1.0802,241.74,1.0802,0.00015923,0.39443,0.53567,0,9.40E-06
0.010224,1.081,240.5,1.081,9.43E-05,0.60925,0.12096,0,1.20E-05
0.010683,1.077,312.44,1.0771,0.00026082,0.39077,0.2806,0.2,1.17E-05
0.0077746,1.0803,250.85,1.0803,0.00017608,0.18115,0.19344,0.2,5.56E-06
0.0083693,1.0782,206.24,1.0782,5.43E-05,0.42392,0.35824,0,8.00E-06
0.0071181,1.079,254.79,1.079,0.00018611,0.47551,0.19235,0.2,4.64E-06
0.0077402,1.079,274.77,1.079,5.28E-06,0.27073,0.35806,0.2,5.30E-06
0.011337,1.0803,346.06,1.0803,0.00020291,0.61664,0.48333,0.1,1.79E-05
0.0073636,1.0802,299.21,1.0802,0.00011457,0.40593,0.093936,0.4,4.74E-06
0.012264,1.0823,174.61,1.0823,0.00012869,0.46177,0.29318,0.6,1.82E-05
0.0094187,1.0793,347.7,1.0793,0.00013312,0.5774,0.25918,0.4,1.05E-05
0.010022,1.0832,225.37,1.0833,0.00021222,0.25607,0.42456,0.5,1.11E-05
0.010717,1.0809,235.49,1.081,0.00024391,0.48444,0.17459,0,9.97E-06
0.012886,1.0801,347,1.0802,0.00074115,0.21525,0.24664,0.3,2.21E-05
0.010128,1.0752,188.69,1.0752,0.00013773,0.46338,0.3841,0.2,7.21E-06
0.012663,1.0764,179.24,1.0765,0.00040805,0.23407,0.46525,0.2,1.75E-05
0.028553,1.0808,105.33,1.0812,0.00060008,0.48421,0.14159,0,3.08E-05
0.016792,1.0797,243,1.0798,0.00023092,0.37081,0.26801,0,1.87E-05
0.023282,1.0768,111.57,1.077,0.0004079,0.44251,0.41629,0,6.22E-05
0.02547,1.076,136.95,1.0763,0.00055132,0.38672,0.15124,0,4.51E-05
0.013473,1.0779,222.24,1.0779,0.00023713,0.60942,0.39584,0,2.16E-05
0.011259,1.0757,251.22,1.0757,0.00026993,0.17863,0.1711,0,9.06E-06
0.021292,1.0758,238.05,1.076,0.00060773,0.72153,0.093905,0,2.19E-05
0.011282,1.0737,280,1.0738,0.00022289,0.29812,0.39555,0.1,1.44E-05
0.0093619,1.0736,312.28,1.0736,0.00028548,0.20561,0.23173,0,1.10E-05
0.012103,1.0742,191.79,1.0743,0.00026968,0.312,0.35466,0,1.76E-05
0.010873,1.0727,304.86,1.0727,0.00021662,0.36907,0.67379,0,1.12E-05
0.015359,1.0717,170.9,1.0718,0.00031633,0.23266,0.16083,0.2,2.48E-05
0.0078088,1.0722,381.01,1.0722,0.00024421,0.23114,0.23117,0,6.86E-06
0.010102,1.0708,404.83,1.0708,0.00049014,0.17446,0.16517,0.1,1.11E-05
0.013584,1.0744,161.4,1.0744,0.00032656,0.16695,0.48357,0.1,1.52E-05
0.011677,1.0697,169.76,1.0698,0.00033793,0.29272,0.35754,0.2,1.42E-05
0.011881,1.068,214.58,1.0681,0.00019876,0.080548,0.47655,0,1.38E-05
0.0089343,1.067,376.95,1.067,0.00024504,0.30182,0.19004,0,9.96E-06
0.0099867,1.0713,204.23,1.0713,0.00027838,0.46015,0.36691,0,1.04E-05
0.0096977,1.0691,258.93,1.0691,3.65E-05,0.15814,0.54761,0,9.58E-06
0.011195,1.0698,160.88,1.0699,0.00015949,0.79706,0.10336,0,9.21E-06
0.0073756,1.0673,313.44,1.0673,8.22E-05,0.36914,0.22537,0,5.86E-06
0.0088944,1.0647,265.55,1.0647,0.00022628,0.39069,0.21964,0,9.40E-06
0.010591,1.0674,269.31,1.0674,0.00016262,0.074517,0.28801,0,1.47E-05
0.010575,1.0655,183.53,1.0655,0.00012243,0.53101,0.39667,0,1.14E-05
0.0097434,1.0658,302.71,1.0658,0.00020814,0.70469,0.2241,0,1.13E-05
0.014661,1.0684,202.11,1.0685,0.00046377,0.44187,0.248,0,2.56E-05
0.018686,1.0605,106.67,1.0606,0.00032704,0.18271,0.31573,0.3,2.73E-05
0.0089443,1.0714,378.73,1.0715,0.00024306,0.33147,0.23724,0,1.04E-05
0.01428,1.0724,116.8,1.0724,0.00027371,0.40267,0.37122,0,8.67E-06
0.010137,1.0743,246.03,1.0744,0.00022938,0.30225,0.56828,0,8.18E-06
0.0093714,1.0736,261.47,1.0736,0.00012412,0.4467,0.20132,0,9.64E-06
0.007303,1.0717,408.29,1.0717,0.00025803,0.27888,0.28071,0,5.83E-06
0.01848,1.0743,239.29,1.0744,0.00034003,0.19464,0.55511,0,4.93E-05
0.010345,1.0724,314.68,1.0725,0.00011773,0.34242,0.40296,0,1.28E-05
