0,0,0,0
0.5,0.288,-1.024,-0.16
1,0.284,-1.032,-0.168
1.5,0.284,-1.032,-0.156
2,0.26,-1.036,-0.132
2.5,0.248,-1.032,-0.152
3,0.256,-1.032,-0.144
3.5,0.256,-1.032,-0.14
4,0.276,-1.044,-0.14
4.5,0.264,-1.032,-0.144
5,0.272,-1.036,-0.128
5.5,0.272,-1.028,-0.156
6,0.28,-1.032,-0.176
6.5,0.28,-1.028,-0.148
7,0.264,-1.024,-0.152
7.5,0.268,-1.032,-0.16
8,0.272,-1.024,-0.16
8.5,0.264,-1.028,-0.148
9,0.244,-1.028,-0.16
9.5,0.244,-1.036,-0.128
10,0.228,-1.056,-0.116
10.5,0.236,-1.036,-0.156
11,0.268,-1.028,-0.148
11.5,0.264,-1.028,-0.156
12,0.268,-1.032,-0.144
12.5,0.256,-1.04,-0.136
13,0.256,-1.04,-0.132
13.5,0.252,-1.04,-0.128
14,0.256,-1.036,-0.12
14.5,0.26,-1.032,-0.14
15,0.264,-1.028,-0.144
15.5,0.268,-1.032,-0.124
16,0.268,-1.028,-0.136
16.5,0.256,-1.032,-0.124
17,0.28,-1.032,-0.132
17.5,0.252,-1.028,-0.116
18,0.272,-1.04,-0.124
18.5,0.276,-1.032,-0.128
19,0.256,-1.032,-0.116
19.5,0.276,-1.032,-0.108
20,0.268,-1.036,-0.116
20.5,0.268,-1.028,-0.12
21,0.288,-1.02,-0.128
21.5,0.268,-1.024,-0.116
22,0.284,-1.032,-0.124
22.5,0.276,-1.028,-0.12
23,0.276,-1.036,-0.108
23.5,0.288,-1.028,-0.132
24,0.276,-1.036,-0.128
24.5,0.292,-1.036,-0.128
25,0.296,-1.032,-0.144
25.5,0.272,-1.032,-0.112
26,0.264,-1.032,-0.108
26.5,0.276,-1.036,-0.116
27,0.28,-1.032,-0.1
27.5,0.28,-1.028,-0.124
28,0.244,-1.012,-0.164
28.5,0.292,-1.028,-0.12
29,0.3,-1.028,-0.108
29.5,0.284,-1.028,-0.104
30,0.292,-1.028,-0.108
30.5,0.3,-1.032,-0.116
31,0.3,-1.028,-0.104
31.5,0.296,-1.028,-0.108
32,0.312,-1.024,-0.104
32.5,0.308,-1.016,-0.144
33,0.296,-1.028,-0.12
33.5,0.304,-1.024,-0.116
34,0.292,-1.024,-0.128
