x,y,z,class
0.008,-1.032,-0.324,sitting
0.004,-1.02,-0.336,sitting
0.012,-1.028,-0.316,sitting
-0.004,-1.028,-0.332,sitting
0.008,-1.036,-0.328,sitting
-0.016,-1.012,-0.316,sitting
0.024,-1.024,-0.34,sitting
0.024,-1.036,-0.304,sitting
0.024,-1.04,-0.3,sitting
0,-1.024,-0.32,sitting
0.028,-1.036,-0.308,sitting
0.004,-1.028,-0.312,sitting
0,-1.036,-0.304,sitting
0,-1.028,-0.308,sitting
0.004,-1.024,-0.304,sitting
0,-1.036,-0.316,sitting
-0.012,-1.024,-0.308,sitting
-0.016,-1.028,-0.316,sitting
-0.02,-1.016,-0.32,sitting
-0.016,-1.016,-0.344,sitting
-0.028,-1.02,-0.328,sitting
-0.028,-1.02,-0.344,sitting
-0.012,-1.02,-0.332,sitting
-0.012,-1.028,-0.336,sitting
-0.016,-1.02,-0.344,sitting
-0.032,-1.012,-0.34,sitting
-0.016,-1.02,-0.352,sitting
-0.024,-1.024,-0.344,sitting
-0.02,-1.02,-0.344,sitting
-0.024,-1.02,-0.348,sitting
-0.02,-1.02,-0.352,sitting
-0.028,-1.028,-0.344,sitting
-0.02,-1.016,-0.356,sitting
-0.028,-1.024,-0.344,sitting
-0.008,-1.032,-0.344,sitting
-0.024,-1.02,-0.344,sitting
-0.012,-1.016,-0.356,sitting
-0.012,-1.024,-0.356,sitting
-0.008,-1.016,-0.348,sitting
-0.024,-1.016,-0.364,sitting
-0.016,-1.02,-0.352,sitting
-0.024,-1.016,-0.36,sitting
-0.02,-1.016,-0.356,sitting
-0.024,-1.02,-0.364,sitting
-0.016,-1.02,-0.352,sitting
-0.008,-1.024,-0.352,sitting
-0.012,-1.024,-0.348,sitting
-0.02,-1.02,-0.344,sitting
-0.016,-1.016,-0.348,sitting
-0.008,-1.02,-0.36,sitting
-0.012,-1.024,-0.356,sitting
-0.008,-1.028,-0.348,sitting
-0.008,-1.016,-0.332,sitting
-0.008,-1.024,-0.36,sitting
-0.02,-1.02,-0.356,sitting
-0.008,-1.02,-0.344,sitting
-0.008,-1.016,-0.356,sitting
-0.016,-1.02,-0.352,sitting
-0.008,-1.024,-0.34,sitting
-0.012,-1.024,-0.356,sitting
-0.008,-1.02,-0.34,sitting
-0.004,-1.02,-0.348,sitting
-0.016,-1.02,-0.344,sitting
-0.008,-1.02,-0.34,sitting
0,-1.024,-0.348,sitting
-0.012,-1.016,-0.344,sitting
-0.004,-1.028,-0.352,sitting
0.004,-1.036,-0.332,sitting
0,-1.02,-0.348,sitting
-0.008,-1.016,-0.352,sitting
-0.004,-1.02,-0.348,sitting
0,-1.02,-0.356,sitting
0,-1.024,-0.352,sitting
0.012,-1.028,-0.328,sitting
-0.004,-1.012,-0.344,sitting
0,-1.016,-0.344,sitting
0,-1.02,-0.348,sitting
-0.008,-1.016,-0.352,sitting
-0.004,-1.024,-0.348,sitting
-0.004,-1.02,-0.36,sitting
-0.012,-1.024,-0.348,sitting
-0.012,-1.016,-0.36,sitting
0,-1.016,-0.356,sitting
-0.004,-1.028,-0.348,sitting
-0.012,-1.02,-0.348,sitting
-0.044,-1.02,-0.368,sitting
0,-1.016,-0.36,sitting
0,-1.02,-0.368,sitting
0.004,-1.02,-0.36,sitting
-0.004,-1.016,-0.364,sitting
0,-1.02,-0.368,sitting
0.004,-1.016,-0.36,sitting
0,-1.016,-0.356,sitting
-0.004,-1.02,-0.348,sitting
-0.004,-1.02,-0.36,sitting
0,-1.024,-0.36,sitting
0,-1.024,-0.356,sitting
-0.004,-1.02,-0.348,sitting
-0.008,-1.028,-0.336,sitting
0,-1.024,-0.348,sitting
-0.028,-1.004,-0.352,sitting
-0.004,-1.016,-0.352,sitting
-0.008,-1.028,-0.348,sitting
-0.004,-1.02,-0.368,sitting
0,-1.02,-0.356,sitting
-0.004,-1.012,-0.372,sitting
-0.012,-1.02,-0.364,sitting
-0.008,-1.016,-0.356,sitting
0.004,-1.02,-0.352,sitting
0,-1.016,-0.368,sitting
0,-1.02,-0.356,sitting
0.004,-1.016,-0.368,sitting
0.004,-1.02,-0.376,sitting
0.02,-1.032,-0.356,sitting
-0.008,-1.016,-0.38,sitting
0,-1.024,-0.356,sitting
0,-1.016,-0.368,sitting
-0.004,-1.02,-0.36,sitting
0,-1.016,-0.372,sitting
0,-1.016,-0.368,sitting
-0.004,-1.016,-0.36,sitting
0,-1.016,-0.364,sitting
0,-1.02,-0.36,sitting
0,-1.016,-0.356,sitting
-0.008,-1.008,-0.352,sitting
-0.004,-1.016,-0.38,sitting
0,-1.02,-0.364,sitting
-0.008,-1.02,-0.364,sitting
0,-1.02,-0.364,sitting
0,-1.024,-0.36,sitting
0,-1.024,-0.364,sitting
0,-1.02,-0.364,sitting
-0.004,-1.02,-0.352,sitting
-0.008,-1.016,-0.352,sitting
-0.008,-1.016,-0.356,sitting
-0.004,-1.012,-0.36,sitting
-0.008,-1.012,-0.376,sitting
-0.004,-1.02,-0.372,sitting
-0.004,-1.02,-0.356,sitting
0,-1.024,-0.372,sitting
0,-1.016,-0.368,sitting
-0.008,-1.012,-0.368,sitting
0.008,-1.012,-0.348,sitting
0.008,-1.016,-0.356,sitting
-0.004,-1.016,-0.36,sitting
0,-1.012,-0.368,sitting
0,-1.02,-0.352,sitting
-0.008,-1.012,-0.364,sitting
0,-1.02,-0.364,sitting
-0.016,-1.012,-0.36,sitting
-0.004,-1.012,-0.372,sitting
0,-1.024,-0.368,sitting
0,-1.02,-0.368,sitting
0,-1.012,-0.372,sitting
-0.008,-1.016,-0.364,sitting
-0.004,-1.012,-0.368,sitting
0.004,-1.016,-0.376,sitting
0,-1.02,-0.364,sitting
-0.008,-1.012,-0.36,sitting
-0.004,-1.016,-0.36,sitting
-0.004,-1.016,-0.36,sitting
-0.004,-1.016,-0.368,sitting
0,-1.02,-0.364,sitting
-0.004,-1.012,-0.356,sitting
-0.004,-1.016,-0.364,sitting
0,-1.02,-0.372,sitting
-0.008,-1.004,-0.352,sitting
-0.004,-1.02,-0.364,sitting
-0.004,-1.02,-0.364,sitting
-0.008,-1.012,-0.356,sitting
0,-1.02,-0.368,sitting
-0.008,-1.012,-0.364,sitting
-0.004,-1.016,-0.36,sitting
0.004,-1.02,-0.356,sitting
-0.008,-1.012,-0.356,sitting
0,-1.016,-0.36,sitting
-0.004,-1.012,-0.356,sitting
-0.004,-1.02,-0.364,sitting
0,-1.024,-0.36,sitting
0,-1.02,-0.356,sitting
0.004,-1.02,-0.356,sitting
0,-1.016,-0.356,sitting
-0.004,-1.016,-0.356,sitting
0,-1.02,-0.364,sitting
-0.004,-1.02,-0.356,sitting
-0.004,-1.024,-0.372,sitting
-0.004,-1.012,-0.356,sitting
0,-1.012,-0.368,sitting
0,-1.016,-0.356,sitting
0.004,-1.016,-0.36,sitting
