x,y,z,class
0,0,0,stairs 
0.096,-1.224,-0.052,stairs 
-0.8,-0.356,0.132,stairs 
0.264,-1.364,-0.152,stairs 
-0.044,-1.764,0.232,stairs 
0.236,-0.608,-0.052,stairs 
0.028,-0.76,-0.004,stairs 
-0.272,-1.132,-0.164,stairs 
-0.06,-1,-0.152,stairs 
-0.136,-0.86,0.124,stairs 
-0.36,-0.928,-0.124,stairs 
0.072,0.312,0.032,stairs 
-1.3,-1.42,0.064,stairs 
-0.72,-1.212,0.04,stairs 
0.108,-1.512,0.056,stairs 
-0.44,-0.736,0.076,stairs 
0.192,-0.904,-0.18,stairs 
0.016,-1.092,0.008,stairs 
-0.048,-1.208,-0.124,stairs 
0.204,-2.048,-0.072,stairs 
-0.024,-2.048,-0.348,stairs 
0,-1.824,-0.472,stairs 
-0.06,-0.668,-0.436,stairs 
-0.248,-0.532,0.168,stairs 
-0.004,-0.672,-0.192,stairs 
-0.22,-0.96,0.008,stairs 
0.372,-1.012,-0.148,stairs 
-0.14,-1.776,-0.068,stairs 
-0.036,-1.376,-0.264,stairs 
0.228,-0.728,-0.548,stairs 
0.1,-0.704,-0.068,stairs 
-1.432,-2.032,0.232,stairs 
-0.136,-0.06,-0.396,stairs 
-0.056,-0.728,0.092,stairs 
-0.052,-0.5,-0.164,stairs 
-0.88,-1.104,-0.272,stairs 
0.104,-1.676,-0.296,stairs 
-0.056,-1.328,-0.38,stairs 
0.104,-1.24,-0.244,stairs 
-0.148,-0.408,0,stairs 
-0.56,-1.024,0.088,stairs 
-0.248,-1.28,0.132,stairs 
0.188,0.236,-0.132,stairs 
-0.572,-1.736,0.124,stairs 
-0.216,0.296,0.044,stairs 
-0.148,-2.048,0.14,stairs 
-0.012,0.152,-0.016,stairs 
-0.532,-2.036,0.036,stairs 
0.044,-2.048,0.288,stairs 
-0.172,-0.568,-0.016,stairs 
-0.5,-1.124,-0.064,stairs 
-0.716,-1.984,0.088,stairs 
-0.076,0.224,0.112,stairs 
-0.44,-0.956,0.004,stairs 
-0.268,-1.276,-0.004,stairs 
-0.176,-0.78,-0.116,stairs 
-0.288,-0.84,-0.14,stairs 
-0.212,-1.044,-0.12,stairs 
-0.608,-1.008,-0.052,stairs 
0.384,-0.064,-0.076,stairs 
-0.544,-2.048,-0.008,stairs 
0.004,0.464,-0.104,stairs 
-0.22,-2.048,0.416,stairs 
0.108,-0.12,-0.084,stairs 
-0.204,-2.048,-0.032,stairs 
-0.032,-0.86,-0.032,stairs 
0.216,0.22,-0.112,stairs 
-0.12,0.056,-0.14,stairs 
-0.02,-0.128,-0.112,stairs 
-0.584,-2.048,0.16,stairs 
-0.204,-1.344,0.172,stairs 
-0.06,-0.156,-0.228,stairs 
-0.264,-1.304,-0.028,stairs 
-0.196,-2.048,0.276,stairs 
-0.356,-0.256,-0.172,stairs 
-0.408,-0.832,0,stairs 
-0.548,-1.392,-0.1,stairs 
-0.228,-1.988,0.1,stairs 
0.136,0.348,-0.268,stairs 
-0.44,-1.588,-0.108,stairs 
-0.3,-1.852,0.388,stairs 
0.132,0.088,-0.06,stairs 
-0.308,-2.048,0.068,stairs 
-0.24,-0.292,-0.016,stairs 
-0.344,-0.66,-0.112,stairs 
-0.144,-0.78,-0.048,stairs 
-0.54,-1.084,-0.02,stairs 
-0.328,-0.672,-0.032,stairs 
-0.22,-0.8,-0.248,stairs 
0.292,0.136,-0.084,stairs 
-0.236,-1.772,0.184,stairs 
-0.284,0.008,-0.384,stairs 
-0.728,-1.184,0.076,stairs 
-0.048,-1.288,0.068,stairs 
-0.208,-1.364,-0.08,stairs 
-0.024,-0.624,-0.136,stairs 
-0.12,-1.676,-0.128,stairs 
0.092,0.192,-0.18,stairs 
-0.076,0.14,-0.196,stairs 
-0.212,-0.512,0.064,stairs 
-0.184,-0.636,-0.156,stairs 
-0.24,-0.804,-0.06,stairs 
0.12,-0.82,-0.26,stairs 
0.156,-0.5,-0.112,stairs 
0.044,-0.72,-0.204,stairs 
-0.272,-1.072,0.08,stairs 
-0.744,0.148,-0.048,stairs 
