x,y,z,class
-1.036,-1.176,0.464,walking
-0.04,-0.728,-0.104,walking
-0.856,-0.916,0.172,walking
0.188,-1.012,-0.064,walking
-0.028,-1.588,0.112,walking
-0.032,-1.48,0.268,walking
0.216,-1.66,0.232,walking
-0.36,-0.872,0.184,walking
0.008,-0.904,-0.024,walking
-0.112,-0.588,0.076,walking
-0.204,-0.444,-0.132,walking
0.12,-0.744,0.048,walking
0.036,-0.636,-0.156,walking
0.012,-0.828,0.128,walking
0.064,-0.78,-0.176,walking
-0.012,-0.824,0.108,walking
0.08,-0.756,-0.184,walking
0.08,-0.84,0.112,walking
0,-0.74,-0.064,walking
0.044,-0.872,0.148,walking
-0.272,-1.092,-0.176,walking
0.02,-1.104,0.06,walking
0.26,-2.032,-0.012,walking
0.048,-1.348,0.252,walking
0.332,-1.456,-0.272,walking
0.192,-1.428,0.244,walking
0.324,-1.2,-0.324,walking
0.004,-1.392,0.212,walking
0.528,-1.128,-0.512,walking
-0.096,-1.476,0.228,walking
-1.056,-2.008,0.516,walking
-0.2,-1.116,0.152,walking
-0.512,-0.772,0.196,walking
-0.596,-1.448,0.376,walking
0.192,-1.064,-0.304,walking
-0.012,-1.06,0.196,walking
-0.116,-0.976,-0.076,walking
-0.072,-1.164,0.184,walking
-0.032,-0.924,-0.104,walking
-0.128,-1.036,0.164,walking
-0.104,-0.82,-0.156,walking
0.08,-0.94,0.14,walking
-0.12,-0.828,-0.208,walking
0.212,-1.072,0.052,walking
-0.2,-1.192,-0.108,walking
0.088,-1.12,0.064,walking
-0.024,-1.512,-0.08,walking
0.06,-1.312,0.276,walking
0.264,-1.7,-0.092,walking
0.036,-1.28,0.22,walking
0.196,-1.624,-0.056,walking
0.124,-1.196,0.172,walking
0.164,-1.5,-0.088,walking
0.1,-1.208,0.184,walking
0.312,-1.676,-0.2,walking
0.124,-1.56,0.2,walking
0.196,-1.04,-0.34,walking
-0.164,-1.224,0.172,walking
0.124,-1.972,0.792,walking
-0.28,-1.06,0.024,walking
-0.724,-1.004,0.38,walking
-0.716,-0.892,0.5,walking
-0.164,-0.78,-0.04,walking
-1.168,-1.32,0.408,walking
-0.016,-0.924,-0.024,walking
-0.984,-1.104,0.368,walking
0.004,-0.864,-0.08,walking
-0.776,-1.004,0.228,walking
-0.152,-0.708,-0.052,walking
-0.652,-1.004,0.448,walking
-0.724,-0.968,0.208,walking
-0.228,-1.224,0.088,walking
-0.064,-1.788,0.448,walking
-0.064,-1.4,0.248,walking
-0.852,-2.048,0.52,walking
-0.264,-1.156,0.204,walking
0.3,-1.264,-0.412,walking
-0.092,-1.428,0.244,walking
0.54,-1.224,-0.464,walking
-0.056,-1.436,0.188,walking
0.416,-1.276,-0.432,walking
0.032,-1.48,0.216,walking
0.552,-1.24,-0.436,walking
0.072,-1.4,0.156,walking
0.316,-1.244,-0.5,walking
-0.092,-1.376,0.068,walking
-0.156,-1.384,-0.288,walking
-0.356,-1.324,0.192,walking
0.212,-2.048,1.048,walking
-0.044,-1.356,0.14,walking
0.352,-2.048,0.932,walking
-0.148,-1.012,-0.096,walking
-0.084,-1.44,0.036,walking
0.136,-1.212,0.132,walking
0.12,-1.096,-0.112,walking
0.048,-1.44,0.288,walking
0.296,-1.48,-0.068,walking
0.268,-1.372,0.224,walking
0.44,-1.256,-0.288,walking
0.12,-1.352,0.236,walking
0.416,-1.268,-0.456,walking
0.212,-1.38,0.216,walking
0.16,-1.676,-0.044,walking
0.18,-1.32,0.296,walking
0.424,-1.292,-0.368,walking
0.084,-1.508,0.264,walking
0.544,-1.112,-0.416,walking
-0.168,-1.4,0.232,walking
-0.404,-1.548,0.08,walking
-0.272,-1.28,0.264,walking
-0.528,-2.048,0.936,walking
-0.264,-1.324,0.08,walking
-0.756,-0.396,-0.108,walking
-0.788,-0.984,0.5,walking
-0.272,-0.752,-0.188,walking
-0.724,-1.172,0.292,walking
0.112,-1.396,0.376,walking
0.128,-1.828,0.216,walking
-0.288,-0.908,0.14,walking
0.124,-1.372,0.088,walking
-0.344,-0.828,0.248,walking
-0.108,-0.584,-0.096,walking
-0.104,-0.628,0.108,walking
-0.116,-0.444,-0.124,walking
0,-0.672,0.156,walking
-0.18,-0.404,-0.168,walking
0.136,-0.816,0.152,walking
-0.16,-0.548,-0.124,walking
0.156,-0.868,0.188,walking
-0.128,-0.552,-0.144,walking
0.128,-0.896,0.172,walking
-0.056,-0.668,-0.132,walking
0.084,-0.932,0.192,walking
-0.132,-0.596,-0.128,walking
0.124,-0.872,0.196,walking
-0.232,-0.472,-0.176,walking
0.18,-0.824,0.128,walking
-0.18,-0.46,-0.14,walking
-0.02,-0.716,0.176,walking
-0.208,-0.448,-0.12,walking
0.104,-0.772,0.136,walking
0.148,-0.78,-0.236,walking
0.004,-0.796,0.112,walking
0.148,-0.752,-0.172,walking
-0.048,-0.808,0.08,walking
-0.04,-0.652,0.036,walking
-0.02,-0.952,0.112,walking
-0.316,-0.816,0.016,walking
-0.104,-0.828,0.092,walking
-0.24,-0.568,-0.148,walking
-0.02,-0.728,0.176,walking
-0.244,-0.492,-0.204,walking
0.184,-0.892,0.176,walking
0.008,-0.684,-0.144,walking
0.044,-0.912,0.18,walking
0.06,-0.752,-0.204,walking
0.032,-0.844,0.116,walking
0.052,-0.612,-0.152,walking
0.024,-0.792,0.148,walking
-0.116,-0.72,-0.076,walking
0.176,-0.864,0.084,walking
-0.116,-1.408,-0.12,walking
0.072,-1.26,0.184,walking
0.288,-1.848,0.024,walking
0.06,-1.468,0.228,walking
-0.404,-1.404,0.06,walking
-0.248,-1.276,0.22,walking
-0.24,-1.44,0.2,walking
-0.608,-1.084,0.284,walking
-0.652,-0.452,-0.232,walking
-0.74,-0.66,0.516,walking
0.084,-0.956,-0.148,walking
-0.612,-1.44,0.256,walking
0.132,-1.18,0.22,walking
0.436,-1.868,0.172,walking
-0.212,-1.04,0.172,walking
0.22,-1.276,0.076,walking
-0.304,-0.732,0.208,walking
-0.04,-0.856,0.044,walking
-0.216,-0.54,0.14,walking
-0.252,-0.464,-0.04,walking
0.316,-0.94,0.204,walking
0.092,-0.864,-0.216,walking
0.016,-0.868,0.156,walking
0.092,-0.772,-0.232,walking
0.004,-0.848,0.16,walking
0.108,-0.672,-0.2,walking
0.096,-0.76,0.064,walking
-0.06,-0.688,-0.06,walking
0.108,-0.808,0.156,walking
-0.028,-0.732,0.004,walking
0.184,-1.184,0.068,walking
-0.244,-0.764,-0.072,walking
-0.024,-1.056,0.24,walking
-0.104,-1.08,-0.276,walking
-0.048,-1.036,0.088,walking
-0.22,-1.296,-0.004,walking
0.124,-1.16,0.072,walking
-0.068,-1.56,0.036,walking
0.268,-1.312,0.224,walking
0.32,-1.896,0.032,walking
0.204,-1.28,0.232,walking
0.38,-1.592,-0.08,walking
0.288,-1.392,0.24,walking
0.364,-1.416,-0.184,walking
0.056,-1.292,0.192,walking
0.328,-1.428,-0.272,walking
-0.044,-1.248,0.032,walking
-0.056,-1.6,-0.188,walking
-0.096,-1.168,-0.12,walking
-0.048,-1.4,-0.252,walking
-0.144,-1.152,-0.084,walking
-0.168,-1.304,-0.144,walking
-0.18,-1.064,-0.048,walking
-0.144,-1.308,-0.144,walking
-0.052,-1.04,-0.016,walking
-0.2,-1.092,-0.244,walking
-0.004,-1.052,-0.044,walking
-0.276,-1.18,-0.084,walking
0.092,-1.128,0.016,walking
-0.232,-1.144,-0.156,walking
0.044,-1.068,0.056,walking
-0.292,-1.188,-0.124,walking
0.04,-1.172,-0.02,walking
-0.112,-1.26,-0.108,walking
0.032,-1.12,-0.016,walking
-0.192,-1.164,-0.124,walking
0.052,-1.024,0.032,walking
-0.12,-0.976,-0.264,walking
